CFN,Demand,Forecast,Lag 2 % Consumed,Lag 1 % Consumed,Lag 0 % Consumed,Backorder $ (USD),Weeks of Coverage
6DFEN,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,12,4
6PERC,0,4,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.485,0
6SCT,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,45,2
6UN75A,0,0,NaN,NaN,NaN,,247,5
6UN75R,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,86,1
70XLTCP,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,4.724,7
7CN80ED,0,0,FCST NO DMD,NaN,NaN,,
7CN80ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,495,1
80XLTCD,0,8,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.913,2
86109-,0,70,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2,3
86110-,0,14,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2,3
86265,0,0,NaN,NaN,NaN,,
86395,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.001,0
86401,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,207,2
86546,0,0,FCST NO DMD,NaN,NaN,,16,8
86554-,0,36,FCST NO DMD,FCST NO DMD,FCST NO DMD,,208,5
86555,0,40,FCST NO DMD,FCST NO DMD,FCST NO DMD,,772,9
8800DAR,0,136,FCST NO DMD,FCST NO DMD,FCST NO DMD,,493,6
8801DAR,0,480,FCST NO DMD,FCST NO DMD,FCST NO DMD,,576,4
8802,0,30,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.619,6
8803,0,30,FCST NO DMD,FCST NO DMD,FCST NO DMD,,378,7
8804,0,30,FCST NO DMD,FCST NO DMD,FCST NO DMD,,491,0
8805,0,30,FCST NO DMD,FCST NO DMD,FCST NO DMD,,799,5
8CN85ED,0,0,FCST NO DMD,NaN,NaN,,
8CN85ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,790,7
8DCFN,0,8,FCST NO DMD,FCST NO DMD,FCST NO DMD,,6.866,4
8DCT,0,0,NaN,NaN,NaN,,
8DFEN,0,4,FCST NO DMD,FCST NO DMD,FCST NO DMD,,24,9
8PERC,0,30,FCST NO DMD,FCST NO DMD,FCST NO DMD,,464,9
8UN85A,0,0,NaN,NaN,NaN,,250,6
8UN85R,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,201,7
900MR805,0,0,NaN,NaN,NaN,,
900MR869,0,0,NaN,NaN,NaN,,
96360,0,0,NaN,NaN,NaN,,13,8
96365,0,40,FCST NO DMD,FCST NO DMD,FCST NO DMD,,16,8
980U1ESDIUU,0,0,FCST NO DMD,NaN,NaN,,
9CN90A,0,234,FCST NO DMD,FCST NO DMD,FCST NO DMD,$126,66,4
9CN90ED,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,324,5
9CN90ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,639,2
9CN90R,0,25,FCST NO DMD,FCST NO DMD,FCST NO DMD,,817,3
9SCT,0,6,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.126,2
CRT3250A,0,0,NaN,NaN,NaN,,
FLS2101P-C,0,0,FCST NO DMD,NaN,NaN,,
FLT1801Q-C,0,0,NaN,NaN,NaN,,
G-060525-00,0,6,FCST NO DMD,FCST NO DMD,FCST NO DMD,,19,5
HT70PM-ES-NA,0,0,FCST NO DMD,NaN,NaN,,
KIT3203A,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.478,1
KIT3420A,0,8,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.242,8
LNG700P,0,0,NaN,NaN,NaN,,
LNG800P,0,12,FCST NO DMD,FCST NO DMD,FCST NO DMD,,356,3
MNT3209A,0,0,FCST NO DMD,NaN,NaN,,
MR850JSU,0,0,NaN,NaN,NaN,,
MXL70A-GR-DS,0,0,FCST NO DMD,NaN,NaN,,
RT200,0,34,FCST NO DMD,FCST NO DMD,FCST NO DMD,,
RT225,0,0,FCST NO DMD,NaN,NaN,,
TTH,0,7,FCST NO DMD,FCST NO DMD,FCST NO DMD,,76.703,2
X3-003-000,0,121,FCST NO DMD,FCST NO DMD,FCST NO DMD,$572,2.275,3
Total,24.649,71.192,34%,35%,35%,$32.657,57,0
