CFN;Descripcion_Producto;QtyDisponible;forecasttotal;demand;QtyBloqued;QtyQI;QtyRestricted;UOM;Sloc;forecast
30459;030459 ENDO GIA R-OR 60 4.8MM;10;;;0;0;0;EA;40A0;
30459;030459 ENDO GIA R-OR 60 4.8MM;102;;;0;0;0;EA;4000;
30459;030459 ENDO GIA R-OR 60 4.8MM;336;;;0;0;0;EA;4000;
30459;030459 ENDO GIA R-OR 60 4.8MM;354;;;0;0;0;EA;4000;
30459;030459 ENDO GIA R-OR 60 4.8MM;6;;;0;0;0;EA;1400;
3078;PATIENT PLATE 03078 PP05 S.STELL 8X18CM;8;;;0;0;0;EA;4000;
3078;PATIENT PLATE 03078 PP05 S.STELL 8X18CM;12;;;0;0;0;EA;4000;
3078;PATIENT PLATE 03078 PP05 S.STELL 8X18CM;30;;;0;0;0;EA;4000;
3080;MONO CAB 03080 MC06 ENDO SNAR 3M 4MM-PIN;3;;;0;0;0;EA;4000;
3129;PATIENT CAB 03129 PC08 SSTEEL PLT 3M WEM;4;;;0;0;0;EA;4000;
3129;PATIENT CAB 03129 PC08 SSTEEL PLT 3M WEM;24;;;0;0;0;EA;4000;
3483;FOOTSW 03483 FS07 SGL PED BIPO SS501S;2;;;0;0;0;EA;40A0;
3718;ARGON ELECTRODE 03718 EA70 70MM TO ES10;2;;;0;0;0;EA;4202;
3718;ARGON ELECTRODE 03718 EA70 70MM TO ES10;18;;;0;0;0;EA;4000;
3718;ARGON ELECTRODE 03718 EA70 70MM TO ES10;13;;;0;0;0;EA;4202;
3719;ARGON ELECTRODE 03719 EA150 15CM TO ES10;6;;;0;0;0;EA;4202;
3719;ARGON ELECTRODE 03719 EA150 15CM TO ES10;7;;;0;0;0;EA;4202;
3719;ARGON ELECTRODE 03719 EA150 15CM TO ES10;2;;;0;0;0;EA;4202;
3719;ARGON ELECTRODE 03719 EA150 15CM TO ES10;7;;;0;0;0;EA;4000;
3721;ARGON HANDPIECE 03721 ES10 3M TO EA ELEC;1;;;0;0;0;EA;4202;
3721;ARGON HANDPIECE 03721 ES10 3M TO EA ELEC;14;;;0;0;0;EA;4202;
3721;ARGON HANDPIECE 03721 ES10 3M TO EA ELEC;6;;;0;0;0;EA;4000;
3721;ARGON HANDPIECE 03721 ES10 3M TO EA ELEC;5;;;0;0;0;EA;4000;
3721;ARGON HANDPIECE 03721 ES10 3M TO EA ELEC;10;;;0;0;0;EA;4000;
3752;FOOTSW 03752 FS10 SGL PEDAL ARGON;3;;;0;0;0;EA;4020;
3752;FOOTSW 03752 FS10 SGL PEDAL ARGON;2;;;0;0;0;EA;4020;
3752;FOOTSW 03752 FS10 SGL PEDAL ARGON;8;;;0;0;0;EA;4020;
3752;FOOTSW 03752 FS10 SGL PEDAL ARGON;2;;;0;0;0;EA;4020;
3752;FOOTSW 03752 FS10 SGL PEDAL ARGON;5;;;0;0;0;EA;1400;
3752;FOOTSW 03752 FS10 SGL PEDAL ARGON;5;;;0;0;0;EA;4020;
4029;FOOTSW 04029 FS11 DBL PEDAL ARGON4-501S;1;;;0;0;0;EA;4000;
4029;FOOTSW 04029 FS11 DBL PEDAL ARGON4-501S;2;;;0;0;0;EA;4000;
4029;FOOTSW 04029 FS11 DBL PEDAL ARGON4-501S;3;;;0;0;0;EA;4000;
4078;ARGON ELECTR 04078 EA320 320MM TO ES10;27;;;0;0;0;EA;40A0;
4078;ARGON ELECTR 04078 EA320 320MM TO ES10;46;;;0;0;0;EA;40A0;
4078;ARGON ELECTR 04078 EA320 320MM TO ES10;4;;;0;0;0;EA;40A0;
041005JM;CATH 041005JM TORQR OUS 6FR CE RENEWAL;0;;;17;0;0;EA;1201;
4145;ARGON ELECTRODE 04145 EA5 5MM TO ES10;20;;;0;0;0;EA;4000;
4207;04207 GAS ARGON VACUUM CYLINDER;4;;;0;0;0;EA;4020;
4207;04207 GAS ARGON VACUUM CYLINDER;11;;;0;0;0;EA;4020;
4207;04207 GAS ARGON VACUUM CYLINDER;3;;;0;0;0;EA;4020;
4207;04207 GAS ARGON VACUUM CYLINDER;4;;;0;0;0;EA;4020;
4207;04207 GAS ARGON VACUUM CYLINDER;6;;;0;0;0;EA;4020;
42286003;ACCESS 042286003 PROD PERF RET ENVELOPE;43;;;0;0;0;EA;4001;
043325M;CATH 043325M MARINR OUS CS CE RENEWAL;0;;;1;0;0;EA;1201;
043325M;CATH 043325M MARINR OUS CS CE RENEWAL;0;;;3;0;0;EA;1201;
4612;FOOTSW 04612 FS12 SGL PED MONO-BIP HF120;2;;;0;0;0;EA;40A0;
4616;ES GENERATOR 04616 SS501S MICR ESU 300W;1;;;0;0;0;EA;4000;
4718;TRANSPORT UNIT 04718 TU27 SS501SX-601MCa;1;;;0;0;0;EA;4000;
4718;TRANSPORT UNIT 04718 TU27 SS501SX-601MCa;0;;;1;0;0;EA;1202;
4718;TRANSPORT UNIT 04718 TU27 SS501SX-601MCa;0;;;1;0;0;EA;1202;
4728;FOOTSW 04728 FS14 DBL PEDAL SS200E-HF120;2;;;0;0;0;EA;4000;
4728;FOOTSW 04728 FS14 DBL PEDAL SS200E-HF120;27;;;0;0;0;EA;4000;
4728;FOOTSW 04728 FS14 DBL PEDAL SS200E-HF120;6;;;0;0;0;EA;4000;
